Sample Date,Latitude,Longitude,Total Pieces/L ,,,
6/10/2014,22.033683,161.8278,37,,,
6/10/2014,37.838,-70.825,6,,,
6/10/2014,34.48333,-69.25667,6,,,
6/11/2014,12,-61.7,2,,,
6/11/2014,35.68833,-71.47667,6,,,
6/12/2014,32.30297,-64.739703,7,,,
6/12/2014,35.84167,-72.61,8,,,
6/12/2014,36.27333,-73.10333,10,,,
6/14/2014,41.4793,-71.3283,9,,,
6/15/2014,23.908617,154.265083,68,,,
6/17/2014,32.364797,-64.712603,6,,,
6/26/2014,31.80725,140.951167,111,,,
7/1/2014,59.4376,-150.586,2,,,
7/4/2014,27.0786333,-131.5791,13,,,
7/4/2014,59.611,-149.6231,1,,,
7/6/2014,30.42867,-81.3915,0,,,
7/9/2014,22,-149.9,36,,,
7/16/2014,29.353,-120.2311,3,,,
7/19/2014,24.831583,-144.2614167,4,,,
7/22/2014,32.8710833,-143.43865,16,,,
7/23/2014,59.0875,-152.3912,66,,,
7/23/2014,58.8857,-152.1576,4,,,
7/23/2014,59.1755,-152.0623,25,,,
7/23/2014,58.8857,-152.1576,3,,,
7/26/2014,28.3849,-118.7021,4,,,
7/26/2014,23.27306666,-150.0637333,24,,,
8/5/2014,22.996316,-146.977833,13,,,
8/11/2014,55.19839,-131.15373,7,,,
8/23/2014,38.720171,-75.089518,4,,,
8/30/2014,58.12964,-136.43672,3,,,
8/30/2014,32.2614,-116.9911,4,,,
9/3/2014,7.28142,134.4707,6,,,
9/3/2014,44.68741,-1.23216,2,,,
9/4/2014,7.32998,134.46573,21,,,
9/4/2014,44.69592,-1.26258,2,,,
9/6/2014,7.10333,134.23854,9,,,
9/6/2014,7.13265,134.29204,40,,,
9/7/2014,6.99325,134.31082,5,,,
9/11/2014,7.25368,134.24516,12,,,
9/11/2014,7.28116,134.28864,5,,,
9/11/2014,-42.24,-64.05,1,,,
9/12/2014,22.8167,-156.985,16,,,
9/13/2014,23.6348,-154.91,16,,,
9/13/2014,23.6348,-154.91,12,,,
9/13/2014,23.6348,-154.91,9,,,
9/13/2014,7.63095,134.54713,8,,,
9/13/2014,7.77659,134.56976,8,,,
9/14/2014,24.8516,-152.3562,8,,,
9/14/2014,24.8516,-152.3562,5,,,
9/14/2014,24.8516,-152.3562,9,,,
9/14/2014,43.1094,3.11435,2,,,
9/14/2014,43.13627,3.01015,0,,,
9/14/2014,33.4228,-117.6241,2,,,
9/15/2014,25.7248,-149.7316,11,,,
9/15/2014,25.7248,-149.7316,8,,,
9/15/2014,25.7248,-149.7316,15,,,
9/17/2014,27.0671,-144.2697,17,,,
9/17/2014,27.0671,-144.2697,15,,,
9/17/2014,27.0671,-144.2697,13,,,
9/18/2014,28.4649,-141.808,11,,,
9/18/2014,28.4649,-141.808,10,,,
9/19/2014,29.467,-138.8152,8,,,
9/19/2014,29.467,-138.8152,5,,,
9/20/2014,30.1093,-136.2664,8,,,
9/21/2014,30.7981,-133.0207,8,,,
9/21/2014,31.697,-129.0366,20,,,
9/21/2014,7.07776,134.30825,15,,,
9/21/2014,7.31303,134.2236,1,,,
9/22/2014,31.697,-129.0366,13,,,
9/23/2014,32.3905,-125.8473,16,,,
9/23/2014,32.3905,-125.8473,19,,,
9/24/2014,33.1155,-122.512,29,,,
9/24/2014,33.1155,-122.512,27,,,
9/28/2014,40.478162,-74.016266,2,,,
10/1/2014,44.53387,-67.8735,9,,,
10/4/2014,37.7,-122.1911,2,,,
10/6/2014,44.32022,-68.3129,1,,,
10/6/2014,44.2767,-68.3082,7,,,
10/7/2014,44.21675,-68.566861,8,,,
10/11/2014,33.76,-118.1551,5,,,
10/14/2014,58.00415,-153.268494,14,,,
10/25/2014,33.86361,10.97444,4,,,
10/25/2014,41.115233,-73.330736,0,,,
10/25/2014,32.1204,-116.8859,6,,,
10/27/2014,34.2083,-77.7985,12,,,
10/28/2014,20.763,-105.521,4,,,
10/31/2014,32.429,-80.682,0,,,
11/4/2014,17.883,-102.426,7,,,
11/4/2014,9.419722,-79.9675,1,,,
11/7/2014,-10.2995,166.2958,1,,,
11/8/2014,-33.845626,151.281178,2,,,
11/8/2014,-33.893004,151.282359,1,,,
11/8/2014,-33.987899,151.229558,2,,,
11/8/2014,-33.945854,151.2608,0,,,
11/8/2014,-33.919823,151.26097,4,,,
11/9/2014,-33.853602,151.208683,2,,,
11/9/2014,-33.800397,151.285572,2,,,
11/9/2014,-33.799049,151.291585,4,,,
11/10/2014,18.52985,-24.85955,20,,,
11/10/2014,25.69581667,-16.82878333,46,,,
11/10/2014,9.310556,-79.919722,54,,,
11/10/2014,24.66666667,-17.7,37,,,
11/10/2014,26.39,-16.05944444,7,,,
11/11/2014,24.73466667,-17.49166667,1,,,
11/11/2014,24.89666667,-17.76166667,15,,,
11/11/2014,24.94333333,-18.17166667,15,,,
11/11/2014,24.52756667,-17.95046667,44,,,
11/11/2014,24.3061,-18.14383333,3,,,
11/11/2014,24.3935,-18.28266667,65,,,
11/11/2014,25.00633333,-17.51666667,10,,,
11/11/2014,24.62083333,-17.56061667,12,,,
11/11/2014,24.88566667,-18.8101,4,,,
11/12/2014,22.9035,-19.11716667,8,,,
11/12/2014,22.8395,-19.3,0,,,
11/12/2014,22.83416667,-18.9109,15,,,
11/12/2014,22.781,-19.501,4,,,
11/12/2014,22.3,-20.07,3,,,
11/12/2014,22.34133333,-19.9525,4,,,
11/12/2014,23.88705,-18.58373333,8,,,
11/12/2014,21.36518333,-19.47301667,12,,,
11/13/2014,20.34108333,-21.78325,8,,,
11/13/2014,21.1235,-21.27366667,53,,,
11/13/2014,19.03863333,-22.72206667,29,,,
11/13/2014,19.64066667,-21.26666667,8,,,
11/13/2014,26.7097,-80.0475,0,,,
11/13/2014,20.12833333,-22.12833333,7,,,
11/14/2014,18.67486667,-23.35728333,2,,,
11/14/2014,19.005,-23.21166667,0,,,
11/14/2014,19.93901667,-22.13566667,22,,,
11/14/2014,19.0945,-23.16116667,10,,,
11/14/2014,18.69583333,-23.50483333,81,,,
11/14/2014,19.5065,-22.65305,0,,,
11/14/2014,19.38455,-21.2648,14,,,
11/14/2014,18.79,-22.89833333,8,,,
11/14/2014,18.38708333,-24.07995,3,,,
11/14/2014,47.3321,-122.5804,0,,,
11/14/2014,19.61972222,-21.37277778,10,,,
11/15/2014,17.2434,-24.76586667,8,,,
11/15/2014,17.82483333,-24.31583333,114,,,
11/15/2014,17.27083333,-24.51181667,10,,,
11/15/2014,15.757,-96.117,1,,,
11/15/2014,47.38,-122.6407,1,,,
11/15/2014,26.3461,-80.0731,3,,,
11/15/2014,47.3421,-122.776,2,,,
11/15/2014,17.45908333,-23.95976667,22,,,
11/17/2014,16.88578333,-24.99123333,0,,,
11/17/2014,-51.315,-60.2483,1,,,
11/19/2014,16.89416667,-25.04266667,7,,,
11/20/2014,16.81666667,-27.82,15,,,
11/20/2014,16.3997,-28.74345,33,,,
11/20/2014,16.68993333,-28.03765,4,,,
11/20/2014,16.84816667,-28.2345,41,,,
11/20/2014,16.69333333,-28.22833333,20,,,
11/21/2014,17.09855,-29.98701667,4,,,
11/21/2014,16.8749,-32.3976,1,,,
11/21/2014,16.6525,-31.20533333,2,,,
11/21/2014,17.115,-31.35733333,45,,,
11/21/2014,16.35,-31.3,4,,,
11/21/2014,16.88333333,-29.51666667,8,,,
11/21/2014,16.6144,-29.0109,12,,,
11/21/2014,16.75833333,-30.12333333,10,,,
11/21/2014,25.3,-18.93333333,13,,,
11/21/2014,16,-32,4,,,
11/21/2014,27.3182,-16.0608,21,,,
11/21/2014,-54.2844,-36.5065,1,,,
11/21/2014,17.1,-29.97555556,2,,,
11/22/2014,16.48548333,-31.88436667,1,,,
11/22/2014,16.9637,-32.65483333,20,,,
11/22/2014,16.107,-32.279,9,,,
11/22/2014,16.73098333,-34.88593333,20,,,
11/22/2014,17.39283333,-32.97816667,3,,,
11/22/2014,16.76166667,-33.645,5,,,
11/22/2014,38.5046,16.8681,7,,,
11/22/2014,-54.057,-37.3321,6,,,
11/22/2014,16.81666667,-33.56666667,1,,,
11/22/2014,17.04296667,-32.85393333,4,,,
11/23/2014,16.61071667,-33.55808333,2,,,
11/23/2014,16,-38,5,,,
11/23/2014,22.87673,-109.89605,3,,,
11/23/2014,-15.4537,166.6706,13,,,
11/23/2014,17.665,-35.24833333,12,,,
11/24/2014,16.675,-37.515,7,,,
11/24/2014,17.18866667,-39.315,0,,,
11/24/2014,17.05566667,-39.71016667,28,,,
11/24/2014,16.66666667,-40.45,2,,,
11/24/2014,16.43333333,-37.83333333,5,,,
11/24/2014,17.11355,-40.52743333,1,,,
11/24/2014,16.29961667,-37.16975,5,,,
11/24/2014,15.58021667,-35.61666667,5,,,
11/24/2014,28.12443333,-15.41548333,3,,,
11/24/2014,13.254,-88.909,7,,,
11/24/2014,-0.7485,-90.313116,1,,,
11/24/2014,17.12183333,-37.43333333,75,,,
11/24/2014,18.77166667,-39.06333333,6,,,
11/24/2014,25.61118333,-18.86296667,19,,,
11/25/2014,16.4215,-42.66446667,38,,,
11/25/2014,16.16283333,-41.06683333,0,,,
11/25/2014,16.97,-41.27,8,,,
11/25/2014,15.93666667,-40.09333333,3,,,
11/25/2014,26.75183333,-18.34233333,3,,,
11/25/2014,27.09513333,-18.21898333,15,,,
11/25/2014,27.1,-22.46,5,,,
11/25/2014,25.44416667,-16.43998333,12,,,
11/25/2014,26.43095,-17.0075,3,,,
11/25/2014,16,-44,3,,,
11/25/2014,21.6291,-23.7028,14,,,
11/25/2014,16.38333333,-41.86666667,6,,,
11/25/2014,26.36666667,-16.81666667,38,,,
11/25/2014,16.85586667,-40.45415,3,,,
11/25/2014,17.44055556,-38.88944444,10,,,
11/26/2014,15.87561667,-42.97908333,5,,,
11/26/2014,26.34333333,-20.96333333,19,,,
11/26/2014,15.59491667,-42.74123333,21,,,
11/26/2014,16.49968333,-41.97786667,0,,,
11/26/2014,26.11883333,-19.35183333,5,,,
11/26/2014,26.63833333,-21.39166667,34,,,
11/26/2014,26.27,-21.49,1,,,
11/26/2014,25.01333333,-20.67301667,12,,,
11/26/2014,26.34421667,-20.01081667,34,,,
11/26/2014,26.02833333,-20.27333333,6,,,
11/26/2014,25.24573333,-21.11998333,6,,,
11/26/2014,25.75266667,-19.2615,6,,,
11/26/2014,25.96663333,-19.90691667,9,,,
11/26/2014,23.51533333,-18.70628333,8,,,
11/26/2014,25.65666667,-18.448,207,,,
